class_idx,n_samples,mean_weight,std_weight,p10,p50,p90
26,187,0.6000000238418579,0.22194316983222961,0.28602150082588196,0.602150559425354,0.9040859937667847
27,186,0.5999999642372131,0.20929944515228271,0.2940540611743927,0.6237837672233582,0.8810811042785645
28,190,0.6000000238418579,0.1989700347185135,0.32698410749435425,0.6084656119346619,0.8565078973770142
29,186,0.5999999642372131,0.15581926703453064,0.38270270824432373,0.6108108162879944,0.7999999523162842
30,182,0.5999999642372131,0.21494443714618683,0.2928176820278168,0.580110490322113,0.8892817497253418
31,186,0.5999999642372131,0.20642061531543732,0.3102702498435974,0.5978378653526306,0.8497297167778015
32,189,0.5999999642372131,0.21147696673870087,0.298723429441452,0.6106383204460144,0.8685106039047241
33,175,0.6000000238418579,0.19835221767425537,0.3140229880809784,0.6229885220527649,0.8643678426742554
34,186,0.5999999642372131,0.21610772609710693,0.29081082344055176,0.5956757068634033,0.8627027273178101
35,190,0.6000000238418579,0.2126081883907318,0.29312169551849365,0.6126984357833862,0.8759787678718567
36,184,0.6000000238418579,0.20995771884918213,0.3333333432674408,0.5650273561477661,0.8900546431541443
37,183,0.6000000834465027,0.1666456013917923,0.3639560639858246,0.6131868362426758,0.8065934181213379
38,183,0.6000000834465027,0.2092495858669281,0.2975824475288391,0.5978022217750549,0.8610989451408386
39,187,0.5999999642372131,0.20190635323524475,0.31096774339675903,0.602150559425354,0.8726881742477417
40,186,0.6000000238418579,0.21787159144878387,0.29081082344055176,0.617297351360321,0.8821621537208557
41,183,0.6000000834465027,0.21125614643096924,0.2773626446723938,0.6219779849052429,0.8589010834693909
42,168,0.6000000238418579,0.21212996542453766,0.28143712878227234,0.6359281539916992,0.8634730577468872
43,190,0.6000000238418579,0.20461519062519073,0.2842327952384949,0.6402116417884827,0.8497354388237
44,180,0.6000000238418579,0.1960703730583191,0.3537430167198181,0.5865921974182129,0.8661452531814575
45,191,0.6000000834465027,0.21595223248004913,0.28421053290367126,0.6315789818763733,0.8736842274665833
46,184,0.6000000238418579,0.21183441579341888,0.28961747884750366,0.6196721196174622,0.8596720695495605
47,189,0.6000000238418579,0.20782864093780518,0.3251063823699951,0.585106372833252,0.8987233638763428
48,190,0.6000000238418579,0.21492227911949158,0.2780952453613281,0.614814817905426,0.8922750949859619
49,182,0.5999999642372131,0.20366710424423218,0.2998895049095154,0.6331492066383362,0.8676242232322693
50,183,0.6000000834465027,0.2041366547346115,0.3081318736076355,0.6153846383094788,0.8734066486358643
51,189,0.6000000238418579,0.18953798711299896,0.3617021441459656,0.5957446694374084,0.8604254722595215
52,190,0.6000000238418579,0.18239155411720276,0.3159788250923157,0.6296296119689941,0.8118517994880676
53,184,0.6000000238418579,0.21694356203079224,0.30054646730422974,0.6284152865409851,0.8799999356269836
54,191,0.6000000238418579,0.20490387082099915,0.2821052670478821,0.6189473867416382,0.8715789914131165
55,186,0.6000000834465027,0.2139081507921219,0.32108110189437866,0.615135133266449,0.885405421257019
56,184,0.6000000238418579,0.16636018455028534,0.3540984094142914,0.6218579411506653,0.8240436911582947
57,182,0.5999999642372131,0.21505601704120636,0.2910497486591339,0.6265193819999695,0.877348005771637
58,183,0.6000000238418579,0.20825842022895813,0.2857142984867096,0.6241758465766907,0.8571428060531616
59,177,0.5999999642372131,0.2077314406633377,0.2754545509815216,0.6181818246841431,0.8859090805053711
60,180,0.6000000238418579,0.21777138113975525,0.2864804267883301,0.5977653861045837,0.8996648192405701
61,186,0.5999999642372131,0.2073816955089569,0.3210810720920563,0.6108108162879944,0.8810811042785645
62,184,0.6000000238418579,0.21966762840747833,0.30885249376296997,0.5803278684616089,0.9031693935394287
63,191,0.5999999642372131,0.1938580423593521,0.324210524559021,0.6084210276603699,0.848421037197113
64,187,0.5999999642372131,0.209140807390213,0.3015053868293762,0.6064516305923462,0.8821504712104797
65,181,0.5999999642372131,0.18167804181575775,0.36666667461395264,0.5844444632530212,0.8533333539962769
66,186,0.6000000238418579,0.20139406621456146,0.3005405366420746,0.6172972917556763,0.8486486673355103
67,182,0.5999999642372131,0.21726271510124207,0.290607750415802,0.619889497756958,0.8782320618629456
68,182,0.6000000238418579,0.20249414443969727,0.2981215715408325,0.6088398098945618,0.8541436791419983
69,159,0.6000000238418579,0.20229016244411469,0.28354430198669434,0.6354430317878723,0.8460759520530701
70,182,0.5999999642372131,0.21763721108436584,0.279558002948761,0.5977900624275208,0.8959115743637085
71,181,0.6000000238418579,0.20733661949634552,0.30444443225860596,0.6133333444595337,0.8533333539962769
72,183,0.5999999642372131,0.20983676612377167,0.29010990262031555,0.6505494713783264,0.8610989451408386
73,188,0.6000000238418579,0.198092520236969,0.3105882406234741,0.6385027170181274,0.8365775346755981
74,182,0.6000000238418579,0.2169250100851059,0.29303866624832153,0.6243094205856323,0.8872928023338318
75,184,0.6000000238418579,0.21417571604251862,0.29967212677001953,0.6218579411506653,0.8834972381591797
76,189,0.5999999642372131,0.21613448858261108,0.2902127802371979,0.6106383204460144,0.8812766075134277
77,185,0.6000000238418579,0.20461611449718475,0.3095652163028717,0.6630434989929199,0.8286956548690796
78,188,0.6000000238418579,0.20645582675933838,0.3084492087364197,0.6171123385429382,0.8635294437408447
79,185,0.6000000238418579,0.21390517055988312,0.2878260910511017,0.623913049697876,0.8656521439552307
80,186,0.5999999642372131,0.1935759037733078,0.2983783781528473,0.6043243408203125,0.836756706237793
81,157,0.6000000834465027,0.2169618308544159,0.2989743649959564,0.6102563738822937,0.8933333158493042
82,189,0.6000000238418579,0.19735215604305267,0.3344680964946747,0.6127659678459167,0.8685106039047241
83,192,0.6000000238418579,0.20370063185691833,0.3156020939350128,0.6167539358139038,0.8722513318061829
84,180,0.6000000238418579,0.19623307883739471,0.3182123005390167,0.5888268351554871,0.8683798909187317
85,183,0.6000000238418579,0.20777806639671326,0.30373626947402954,0.6197802424430847,0.8751648664474487
86,185,0.6000000238418579,0.21235468983650208,0.30869564414024353,0.6282608509063721,0.8795651793479919
87,183,0.6000000834465027,0.1957838237285614,0.3173626661300659,0.6109890341758728,0.853186845779419
88,188,0.5999999642372131,0.2035624235868454,0.29946523904800415,0.6085562109947205,0.8609625697135925
89,188,0.5999999642372131,0.1973712295293808,0.29240643978118896,0.614973247051239,0.8380748629570007
90,183,0.6000000238418579,0.21439148485660553,0.31472527980804443,0.6000000238418579,0.8848351240158081
91,180,0.5999999642372131,0.2173183262348175,0.3137430250644684,0.6357542276382446,0.8639106154441833
92,188,0.6000000238418579,0.2016478031873703,0.28705883026123047,0.6278074979782104,0.8686630725860596
93,174,0.6000000238418579,0.21558527648448944,0.30473989248275757,0.6046242713928223,0.8945664763450623
94,183,0.6000000238418579,0.22302745282649994,0.31208792328834534,0.6109890341758728,0.8936263918876648
95,190,0.6000000238418579,0.2163318544626236,0.2950264513492584,0.6232804656028748,0.877460241317749
96,181,0.5999999642372131,0.2101770043373108,0.2844444513320923,0.5955555438995361,0.8644444346427917
97,182,0.6000000834465027,0.21612122654914856,0.26740333437919617,0.5955801010131836,0.9005524516105652
98,184,0.6000000238418579,0.1965845674276352,0.3158469796180725,0.6131147742271423,0.8491803407669067
99,187,0.5999999642372131,0.21490664780139923,0.2941935658454895,0.6129032373428345,0.875268816947937
100,187,0.5999999642372131,0.20538394153118134,0.3101075291633606,0.6064516305923462,0.8868817090988159
101,183,0.6000000834465027,0.17328700423240662,0.32131868600845337,0.6109890341758728,0.7995604276657104
102,190,0.6000000238418579,0.21643218398094177,0.30095240473747253,0.5830687880516052,0.9049735069274902
