label,val_samples,train_samples,drift,ft_recall,lp_recall,delta_recall
351,23,208,0.02804084681,0.7826086879,0.7826086879,0
352,16,141,0.05618483201,0.6875,0.3125,0.375
353,20,180,0.04407439008,0.75,0.5500000119,0.1999999881
354,22,193,0.03229159489,0.8636363745,0.9090909362,-0.04545456171
355,16,146,0.04878339544,0.8125,0.75,0.0625
356,22,198,0.02402461134,0.9545454383,0.9090909362,0.04545450211
357,24,216,0.02690185793,0.9583333135,0.9166666865,0.04166662693
358,19,174,0.02751221508,0.8947368264,0.8421052694,0.05263155699
359,24,217,0.02793397568,0.3333333433,0.25,0.08333334327
360,19,168,0.03682858124,0.8421052694,0.7894737124,0.05263155699
361,15,135,0.04356682301,0.5333333611,0.3333333433,0.2000000179
362,24,214,0.05518950149,0.8333333135,0.5416666865,0.2916666269
363,24,217,0.03917205334,0.9166666865,0.6666666865,0.25
364,24,221,0.04180889204,0.08333333582,0.04166666791,0.04166666791
365,19,173,0.04960625991,0.7894737124,0.5789473653,0.2105263472
366,24,212,0.04933667183,0.6666666865,0.375,0.2916666865
367,23,206,0.02186330594,0.9565217495,0.913043499,0.0434782505
368,22,197,0.03107633442,0.8181818128,0.7727272511,0.04545456171
369,24,223,0.03385030851,0.875,0.75,0.125
370,15,139,0.04295071587,0.6000000238,0.4666666687,0.1333333552
371,17,156,0.03347174451,0.7647058964,0.7647058964,0
372,22,203,0.03653958067,0.5,0.4090909064,0.09090909362
373,17,157,0.04301996529,0.6470588446,0.5882353187,0.05882352591
374,19,173,0.04783230647,0.7894737124,0.5263158083,0.2631579041
375,16,139,0.03338575363,0.9375,0.9375,0
376,23,208,0.04229750112,0.6521739364,0.6956521869,-0.0434782505
377,18,166,0.03252168,0.777777791,0.6666666865,0.1111111045
378,16,140,0.03550599143,0.5625,0.5,0.0625
379,15,139,0.03607121482,0.8000000119,0.7333333492,0.06666666269
380,25,222,0.04807169735,0.7599999905,0.5199999809,0.2400000095
381,19,169,0.03370098397,0.5789473653,0.5263158083,0.05263155699
382,19,167,0.03002057038,0.6842105389,0.6315789223,0.05263161659
383,20,176,0.03534201533,0.25,0.150000006,0.09999999404
384,17,157,0.03862807155,0.470588237,0.2352941185,0.2352941185
385,19,170,0.04582959414,0.6315789223,0.6315789223,0
386,16,144,0.04462284222,0.4375,0.375,0.0625
387,16,141,0.03291776776,0.75,0.75,0
388,23,210,0.04014112055,0.6956521869,0.4782608747,0.2173913121
389,15,138,0.04134142399,0.5333333611,0.4666666687,0.0666666925
390,22,199,0.02736460604,0.5454545617,0.5454545617,0
391,18,158,0.02184371836,0.8888888955,1,-0.1111111045
392,19,173,0.0344487913,0.6842105389,0.5263158083,0.1578947306
393,18,163,0.05092486367,0.6111111045,0.3888888955,0.222222209
394,20,179,0.04358625412,0.8000000119,0.6499999762,0.1500000358
395,22,203,0.02533922903,1,1,0
396,22,201,0.04874051735,0.3181818128,0.227272734,0.09090907872
397,22,194,0.03599481657,0.6818181872,0.6363636255,0.04545456171
398,18,168,0.03160627559,0.8888888955,0.777777791,0.1111111045
399,22,193,0.02983091027,0.8181818128,0.7727272511,0.04545456171
400,15,138,0.04768270999,0.4666666687,0.4666666687,0
401,23,203,0.02228120156,0.913043499,0.8695651889,0.04347831011
402,25,221,0.04306839406,0.5199999809,0.4399999976,0.07999998331
403,22,193,0.04629579559,0.5454545617,0.4545454681,0.09090909362
404,17,154,0.02624466456,0.7058823705,0.6470588446,0.05882352591
405,16,146,0.03781208396,0.625,0.5625,0.0625
406,17,153,0.02593882568,1,0.9411764741,0.05882352591
407,10,89,0.04432008415,0.1000000015,0.1000000015,0
408,22,201,0.03676295653,0.6363636255,0.5909090638,0.04545456171
409,18,161,0.04704008624,0.6666666865,0.722222209,-0.05555552244
410,16,140,0.03273174912,0.8125,0.8125,0
411,23,205,0.05027277395,0.7826086879,0.5217391253,0.2608695626
