class_index,class_name,count,D3_STRICT_accuracy,B2_GCE07_accuracy
455,0455,21,0.7619047619047619,0.6666666666666666
456,0456,21,0.38095238095238093,0.3333333333333333
457,0457,21,0.47619047619047616,0.47619047619047616
458,0458,21,0.7619047619047619,0.6666666666666666
459,0459,21,0.8095238095238095,0.7619047619047619
460,0460,21,0.9523809523809523,0.9047619047619048
461,0461,20,0.9,0.9
462,0462,21,0.6190476190476191,0.6666666666666666
463,0463,21,0.2857142857142857,0.38095238095238093
464,0464,20,0.9,0.9
465,0465,21,0.6666666666666666,0.6666666666666666
466,0466,20,0.8,0.8
467,0467,21,0.42857142857142855,0.42857142857142855
468,0468,20,0.75,0.6
469,0469,21,0.7142857142857143,0.8095238095238095
470,0470,21,0.14285714285714285,0.09523809523809523
471,0471,20,0.65,0.65
472,0472,22,0.5,0.4090909090909091
473,0473,21,0.8571428571428571,0.8571428571428571
474,0474,21,0.9047619047619048,0.9047619047619048
475,0475,21,0.7619047619047619,0.7619047619047619
476,0476,21,0.6190476190476191,0.42857142857142855
477,0477,21,0.3333333333333333,0.14285714285714285
478,0478,21,0.42857142857142855,0.5238095238095238
479,0479,19,0.5263157894736842,0.47368421052631576
480,0480,21,0.9523809523809523,0.9523809523809523
481,0481,22,0.7727272727272727,0.7727272727272727
482,0482,21,0.8095238095238095,0.8095238095238095
483,0483,21,0.38095238095238093,0.23809523809523808
484,0484,21,0.9047619047619048,0.9047619047619048
485,0485,22,0.22727272727272727,0.2727272727272727
486,0486,21,0.7142857142857143,0.6666666666666666
487,0487,21,0.6190476190476191,0.5238095238095238
488,0488,20,0.65,0.55
489,0489,23,0.5652173913043478,0.5217391304347826
490,0490,20,0.95,0.9
491,0491,20,0.45,0.45
492,0492,20,0.6,0.6
493,0493,20,0.75,0.8
494,0494,22,0.5,0.5
495,0495,21,0.9523809523809523,0.9523809523809523
496,0496,20,0.9,0.95
497,0497,20,0.95,1.0
498,0498,20,0.8,0.8
499,0499,20,0.95,0.8
